,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.2969817519187927,0.3008821904659271,-0.06584719568490982,-0.044211916625499725
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.2839576005935669,0.24074016511440277,-0.0071409051306545734,0.017496276646852493
34,0.257583701,0.0,-0.022096114,-0.021270467,0.26321715116500854,0.0045899502001702785,-0.007503315806388855,0.0016634128987789154
48,0.053460835,0.222581304,0.024169164,0.019693731,0.058782950043678284,0.2219715267419815,0.028573866933584213,0.030540108680725098
62,0.235214224,0.129368083,0.014151168,0.012045185,0.22964590787887573,0.14476533234119415,0.038945864886045456,0.03246739134192467
73,0.155829995,0.20171942,0.024596552,0.029726634,0.13883168995380402,0.20701654255390167,0.03762643784284592,0.017280306667089462
86,0.0,0.0,-0.016429,-0.018938757,0.008999623358249664,0.005228533875197172,-0.0008126511238515377,0.00285665737465024
99,0.256234976,0.395232372,-0.000190205,0.004067255,0.2681806981563568,0.40140023827552795,-0.010566622018814087,-0.021165592595934868
111,0.0,0.0,-0.059558036,-0.070912812,0.012712989933788776,0.0038552475161850452,-0.03060835599899292,-0.05099081993103027
121,0.001325379,0.266461054,0.01444578,0.032049886,0.01852833852171898,0.264827162027359,0.031494949012994766,0.045296426862478256
143,0.226803182,0.20602017,0.077370769,0.072010487,0.23205946385860443,0.21211127936840057,0.016508908942341805,0.030671492218971252
166,0.238153543,0.236907407,0.077299144,0.088173151,0.2399631142616272,0.2288442850112915,0.06548615545034409,0.01654098927974701
180,0.0,0.0,-0.081811306,-0.075499599,-0.0009127242374233902,0.0034086164087057114,-0.07761798799037933,-0.05383318290114403
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.13731735944747925,0.21814768016338348,-0.0007604994461871684,-0.007226144894957542
241,0.431270733,0.31295043,0.008738172,0.018405068,0.4154857099056244,0.3095022141933441,0.00401206873357296,0.01695908047258854
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.0925881490111351,0.21562229096889496,-0.11162934452295303,-0.09950517117977142
263,0.943652498,0.0,-0.015365768,-0.009337268,0.9787891507148743,0.002130362205207348,-0.0264829583466053,-0.05174620822072029
296,0.0,0.0,-0.099859641,-0.0900583,0.014642500318586826,0.0064790924079716206,-0.08381937444210052,-0.05076472833752632
310,0.276528341,0.02363931,0.019365184,0.01343832,0.2940632104873657,0.030688423663377762,0.04121170938014984,0.06061480566859245
327,0.049634875,0.126614761,-0.042992522,-0.043299891,0.038670480251312256,0.12929338216781616,-0.04442455992102623,-0.031970489770174026
351,0.138922581,0.452231138,-0.05174406,-0.014860826,0.13054259121418,0.46097221970558167,-0.05202038586139679,0.004154938273131847
368,0.303851889,0.259350517,-0.048489093,-0.049080457,0.2881944477558136,0.24437738955020905,-0.06656215339899063,-0.035850897431373596
377,0.128564682,0.187231113,0.018716604,0.018131636,0.1332746148109436,0.1850566864013672,0.07413759082555771,0.048740215599536896
393,0.003857442,0.21195911,0.037254687,0.042977132,0.015923572704195976,0.21896669268608093,0.038664817810058594,0.031534526497125626
397,0.206346223,0.216566817,0.037786816,0.039139716,0.2227150797843933,0.21438755095005035,0.04631687328219414,0.045276861637830734
406,0.007837919,0.216111038,0.019002617,0.035241965,0.009788364171981812,0.20705583691596985,0.01893901452422142,0.03755323588848114
420,0.44389209,0.261340803,0.004190792,0.007241893,0.4544457197189331,0.25099244713783264,-0.004857608117163181,-0.0043264045380055904
425,0.0,0.04079694,-0.072411802,-0.034730313,5.3404379286803305e-05,0.02536783553659916,0.007716001011431217,-0.003134960774332285
431,0.135968423,0.261748227,-0.012712012,-0.02889571,0.12929219007492065,0.25617244839668274,-0.062208786606788635,-0.029236825183033943
436,0.022807263,0.022102246,-0.035804656,-0.011391998,0.031467635184526443,0.03501983731985092,-0.06897922605276108,-0.036175888031721115
444,0.821569934,0.0,-0.04970001,-0.05209495,0.8350000381469727,0.0018426598981022835,-0.04220055416226387,-0.040281910449266434
449,0.553427679,0.250218496,-0.101021799,-0.103570361,0.5655989050865173,0.2578885853290558,-0.13140933215618134,-0.15288996696472168
454,0.151057398,0.56497034,0.029271925,0.013233695,0.1804327815771103,0.5806562900543213,0.009906519204378128,0.023048045113682747
466,0.118971953,0.035890786,-1.053097925,-0.930510122,0.16102178394794464,0.10716507583856583,-0.6175879836082458,-0.5345113277435303
476,0.00201021,0.0,0.010637959,0.050307716,0.0047545526176691055,0.0020099980756640434,0.030167609453201294,0.05207626521587372
480,0.013753514,0.0,-0.012880662,0.017459029,0.019342655315995216,0.004249975550919771,-0.05260267108678818,-0.018845101818442345
494,0.258752116,0.210512886,-0.023262057,-0.025301866,0.26261067390441895,0.2168923318386078,-0.028213895857334137,-0.023758523166179657
506,0.010379938,0.269165246,-0.034487218,-0.027192972,0.02087164856493473,0.2622518539428711,-0.013132338412106037,-0.0013535998295992613
518,0.035203679,0.184514989,-0.073059739,-0.085888711,0.020504919812083244,0.18698176741600037,-0.09312943369150162,-0.0481826476752758
525,0.318131937,0.0,-0.174218236,-0.182351171,0.3473692834377289,0.0030056238174438477,-0.22635518014431,-0.2395753413438797
539,0.359938259,0.184913111,-0.27326157,-0.270993438,0.3525639772415161,0.1898805797100067,-0.25372785329818726,-0.17745226621627808
549,0.109815472,0.262634542,-0.045154233,-0.018430693,0.10077793896198273,0.26011836528778076,-0.0490647591650486,-0.04890544340014458
562,0.189685117,0.12161668,0.058107691,0.042560274,0.18695609271526337,0.12777477502822876,0.020208988338708878,-0.013164262287318707
576,0.077785303,0.205336146,0.010857167,0.014213531,0.07494226098060608,0.20972374081611633,-0.001860420685261488,0.029730213806033134
592,0.0,0.0,-0.233829788,-0.226228195,0.015871886163949966,0.020535767078399658,-0.2709115147590637,-0.1901313066482544
608,0.315827532,0.467697001,0.00759784,0.004422932,0.31660574674606323,0.45840197801589966,0.010294566862285137,0.003898527240380645
621,0.045909498,0.124205464,0.130521337,0.112633132,0.03754425793886185,0.07253340631723404,0.11565583199262619,0.06784182041883469
640,0.099471721,0.133224773,-0.079920555,-0.0692265,0.09436412900686264,0.1262914091348648,-0.025257533416152,-0.04358666390180588
663,0.0,0.0,-0.023965988,-0.023977822,0.007529261987656355,0.0068363770842552185,-0.0385763943195343,-0.036008451133966446
683,0.073135045,0.063311052,-0.024735848,-0.020511075,0.06544353067874908,0.06263020634651184,-0.0329001285135746,-0.01923794113099575
698,0.421615727,0.247672681,-0.01108427,-0.015729093,0.4185292422771454,0.23586413264274597,-0.02752900868654251,-0.05071962997317314
712,0.492822978,0.433890167,-0.128765557,-0.104793319,0.49185070395469666,0.4378274381160736,-0.16959702968597412,-0.08902045339345932
725,1.0,1.0,0.019340778,0.012833895,0.9943075180053711,0.9888338446617126,-0.016421061009168625,-0.014659898355603218
734,0.559694795,0.120992428,-0.005584392,-0.004964232,0.5593413710594177,0.1009543314576149,-0.023144718259572983,-0.023777436465024948
745,1.0,0.0,-0.103656283,-0.094446591,1.0015755891799927,-0.007191735319793224,-0.07236461341381073,-0.06659509986639023
760,0.336036922,0.056953201,-0.149530383,-0.15815462,0.3063993453979492,0.043360162526369095,-0.1905241310596466,-0.20755581557750702
774,0.221144109,0.202488022,-0.012391521,-0.003605369,0.22088856995105743,0.20766563713550568,0.002927781781181693,0.026834998279809952
788,0.116976041,0.167264547,-0.23579968,-0.23073122,0.10562098026275635,0.17560461163520813,-0.28120869398117065,-0.1884685605764389
800,0.316080671,0.214322285,-0.030270907,-0.028716895,0.3071000874042511,0.215892031788826,-0.003848485415801406,0.05889280140399933
819,0.052690112,0.220807626,0.021892068,0.05376494,0.05574372038245201,0.2176927626132965,0.03426897153258324,0.031091218814253807
834,0.075727696,0.10573694,0.041863111,0.05209081,0.07014211267232895,0.11467305570840836,0.02168838493525982,0.058584216982126236
