,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.2866158656260147,0.2879416404480537,-0.08166370624371666,-0.06064069467475797
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.2623798711022687,0.2328980211047167,0.02658245104791135,0.023734021331222266
34,0.257583701,0.0,-0.022096114,-0.021270467,0.2863809164166433,0.022269401642347475,-0.012918923222205336,-0.010114569464235501
48,0.053460835,0.222581304,0.024169164,0.019693731,0.06481388357091689,0.19291434676128283,0.03649759026325228,0.03354625209522055
62,0.235214224,0.129368083,0.014151168,0.012045185,0.20943050692326537,0.12337131701140258,0.022141696038033842,0.019877438835285588
73,0.155829995,0.20171942,0.024596552,0.029726634,0.10694476114288065,0.17963913857704483,0.031042596209971407,0.03567638568401321
86,0.0,0.0,-0.016429,-0.018938757,0.011828693602836893,0.003507552285473281,-0.008575302079833591,-0.010992303245956236
111,0.0,0.0,-0.059558036,-0.070912812,-0.00040211887413477143,0.0020357306201077563,-0.06923920795972549,-0.08010098025096113
121,0.001325379,0.266461054,0.01444578,0.032049886,0.04638126793098252,0.2658651233532794,0.040523223088200666,0.05159464889248966
143,0.226803182,0.20602017,0.077370769,0.072010487,0.2508609548691503,0.22553488137305067,0.0366879478754889,0.03653378732940382
166,0.238153543,0.236907407,0.077299144,0.088173151,0.2254969698906102,0.2353288817342456,0.06247501011773693,0.06966621704253839
180,0.0,0.0,-0.081811306,-0.075499599,0.010826324976648039,0.01126317091944884,-0.05594197558789915,-0.04665479025931063
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.14096718178764078,0.22015700790342052,0.011409195306498532,0.009697039612765579
241,0.431270733,0.31295043,0.008738172,0.018405068,0.4310096571281483,0.33231354147099346,0.013196032678560954,0.014713628026756354
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.09375781300964547,0.2110859493104016,-0.11133840079202173,-0.11056619484398134
263,0.943652498,0.0,-0.015365768,-0.009337268,0.9685058984485053,-0.01601324617936939,0.0071535160080600235,0.0009585664242877101
296,0.0,0.0,-0.099859641,-0.0900583,0.01632165376808814,0.01410015972149381,-0.07987848329312897,-0.07890050493645617
310,0.276528341,0.02363931,0.019365184,0.01343832,0.29563823804193134,0.0910290096791897,0.04313278820183086,0.03569446854248781
327,0.049634875,0.126614761,-0.042992522,-0.043299891,0.05599753560532861,0.1318087592993038,-0.0327916355814466,-0.03737938341230951
351,0.138922581,0.452231138,-0.05174406,-0.014860826,0.10947461255776636,0.4492687816741636,-0.06147368737399361,-0.030839134762969067
377,0.128564682,0.187231113,0.018716604,0.018131636,0.14579134260021576,0.1936648944543844,0.06511199968410963,0.05506399203505907
393,0.003857442,0.21195911,0.037254687,0.042977132,0.013146735695066525,0.21160474012697073,0.03271279239508473,0.0351290045371897
397,0.206346223,0.216566817,0.037786816,0.039139716,0.2022430280458991,0.21326537554700842,0.04562162219660948,0.047740326508460385
406,0.007837919,0.216111038,0.019002617,0.035241965,0.029520268071646427,0.21555540426228958,0.05209918133807889,0.054397815231453706
420,0.44389209,0.261340803,0.004190792,0.007241893,0.4096266474973014,0.24080391530145562,0.02112565501382946,0.01920288021643124
431,0.135968423,0.261748227,-0.012712012,-0.02889571,0.12856369298728154,0.2620289991537277,-0.04708415594424764,-0.016982421980285878
436,0.022807263,0.022102246,-0.035804656,-0.011391998,0.0539079305220298,0.03368562898812222,-0.06008643972717209,-0.03645839442813781
444,0.821569934,0.0,-0.04970001,-0.05209495,0.8101062727473503,-0.015533851026562573,-0.02900610034151896,-0.03406933300831838
454,0.151057398,0.56497034,0.029271925,0.013233695,0.14851985940630064,0.5424208217623327,0.023667410028508584,0.011944913812159896
