iter	MultiRMSE
0	0.4726222228
1	0.4526327526
2	0.434067061
3	0.416541142
4	0.4002145412
5	0.3847296966
6	0.3701556191
7	0.3564045921
8	0.3437268817
9	0.3314267078
10	0.3199695609
11	0.3090469548
12	0.2987058376
13	0.2892054058
14	0.28036035
15	0.2720711029
16	0.2643834609
17	0.2569611179
18	0.2500015302
19	0.2435264757
20	0.2374317744
21	0.2315784974
22	0.2262264775
23	0.2212675751
24	0.2163555097
25	0.2119909773
26	0.2076632968
27	0.203943982
28	0.2002878575
29	0.1965493307
30	0.1932801862
31	0.1899855917
32	0.1868926786
33	0.1840225997
34	0.1812393797
35	0.1792379128
36	0.1767500677
37	0.1744363449
38	0.1724546856
39	0.1703773322
40	0.1681704634
41	0.1660523723
42	0.1641958961
43	0.1623840201
44	0.1606117407
45	0.1590666154
46	0.1575264244
47	0.1562423254
48	0.1546801116
49	0.1532091585
50	0.1518088842
51	0.1507334503
52	0.1495636294
53	0.1484651316
54	0.1474934256
55	0.1463357685
56	0.1452961663
57	0.1442701085
58	0.1431860847
59	0.1421553571
60	0.1410997642
61	0.1402633533
62	0.1393924437
63	0.1385730309
64	0.1378280202
65	0.1370836758
66	0.136255999
67	0.1357337886
68	0.1350446109
69	0.134338475
70	0.13365064
71	0.1331188041
72	0.1323005137
73	0.1317304512
74	0.1311990511
75	0.1304168678
76	0.1296744993
77	0.1291836128
78	0.1286817509
79	0.1281217965
80	0.1275120159
81	0.127089092
82	0.1266613452
83	0.1259864214
84	0.1254615576
85	0.1250086218
86	0.1245538482
87	0.1241837049
88	0.123743549
89	0.1233758878
90	0.1230662688
91	0.1225640972
92	0.1221857134
93	0.1216664693
94	0.1212511442
95	0.1208425955
96	0.1204168593
97	0.1199911627
98	0.1195763235
99	0.1191981167
100	0.1187139537
101	0.1181401586
102	0.1175625027
103	0.11725892
104	0.1169066702
105	0.1164824601
106	0.1162382747
107	0.115806593
108	0.115333036
109	0.1149694015
110	0.1145836045
111	0.1142153839
112	0.1138589203
113	0.1135095366
114	0.1130347006
115	0.1127465225
116	0.1124577466
117	0.1121827214
118	0.111868844
119	0.1116601537
120	0.1114770206
121	0.1112009044
122	0.1108297531
123	0.1103779008
124	0.1101266603
125	0.1098796176
126	0.1095901245
127	0.1092426657
128	0.1088345648
129	0.1086223281
130	0.108405569
131	0.1081978677
132	0.1079163625
133	0.1075897267
134	0.1072729983
135	0.1070769975
136	0.1067098668
137	0.1065553947
138	0.106337592
139	0.1061812987
140	0.1058143578
141	0.1055287509
142	0.105307616
143	0.1049946547
144	0.1047990659
145	0.1045530615
146	0.1043638596
147	0.1041550834
148	0.1039165551
149	0.1036314302
150	0.10340021
151	0.1030766108
152	0.1028007923
153	0.1025553969
154	0.1023755953
155	0.1021414129
156	0.1019324201
157	0.1017333948
158	0.1015460777
159	0.1013816791
160	0.1012158763
161	0.1010201306
162	0.1008646383
163	0.1006566609
164	0.1005055973
165	0.1002964348
166	0.1000309453
167	0.09982013741
168	0.09955326848
169	0.09928410445
170	0.09914858982
171	0.09901105444
172	0.09878666364
173	0.09859429684
174	0.09841642674
175	0.09824776817
176	0.09807662383
177	0.09783226268
178	0.09762031143
179	0.09745483005
180	0.09723069412
181	0.09706799027
182	0.09688099356
183	0.09670220248
184	0.09651023937
185	0.09633852442
186	0.09619002552
187	0.09595786973
188	0.09580650898
189	0.09563111993
190	0.09543295241
191	0.09528537499
192	0.09508224506
193	0.09486687525
194	0.09451014881
195	0.09430267729
196	0.09408020542
197	0.09390483014
198	0.09376122103
199	0.09364817547
200	0.0934494485
201	0.09326580484
202	0.09308370145
203	0.09284227252
204	0.09265252424
205	0.09247097494
206	0.09235438255
207	0.09218984088
208	0.0920482353
209	0.09191660904
210	0.09166230634
211	0.09148831248
212	0.09135497698
213	0.09114322894
214	0.09098773364
215	0.09087125965
216	0.0907503481
217	0.09055403873
218	0.09038670135
219	0.09010686016
220	0.08984274422
221	0.08968513023
222	0.08951415332
223	0.08936652945
224	0.08925060763
225	0.08903817011
226	0.08892410481
227	0.08872829694
228	0.0885931118
229	0.08845932693
230	0.08837049596
231	0.08819084169
232	0.08801984717
233	0.08791373046
234	0.08776487261
235	0.08754853244
236	0.08740990043
237	0.0873242016
238	0.08713203147
239	0.08701692667
240	0.08688286696
241	0.08675331786
242	0.08660286529
243	0.08641480808
244	0.08624935098
245	0.08611578523
246	0.08601314748
247	0.08589428958
248	0.08573630615
249	0.0855752949
250	0.08546519378
251	0.08522849256
252	0.08507633967
253	0.08498240098
254	0.08488447324
255	0.08467041746
256	0.08448424203
257	0.08434739252
258	0.08425519317
259	0.08413316583
260	0.08401865502
261	0.08389256488
262	0.08377425708
263	0.08362930561
264	0.08352164604
265	0.08340979491
266	0.08327942094
267	0.08317812439
268	0.08305987894
269	0.082899223
270	0.08281016645
271	0.08258654588
272	0.0824173729
273	0.08226077028
274	0.08214992826
275	0.08195096524
276	0.08173916473
277	0.08163891811
278	0.08146877722
279	0.08138878855
280	0.08127431869
281	0.08120345154
282	0.08102844031
283	0.08091845343
284	0.08083033984
285	0.08067278632
286	0.0805777167
287	0.08048865648
288	0.08039617088
289	0.08029369718
290	0.0801520383
291	0.08003677206
292	0.07993333839
293	0.07985470677
294	0.07976451679
295	0.07964954269
296	0.07953942367
297	0.07946698864
298	0.07934452196
299	0.07925435476
300	0.07919237893
301	0.07906349727
302	0.07895973677
303	0.07886076205
304	0.07874104663
305	0.07863372359
306	0.07850434488
307	0.0783620606
308	0.07822741832
309	0.07814770324
310	0.07805277343
311	0.0777864503
312	0.07768351004
313	0.07754109758
314	0.07741144773
315	0.07730988087
316	0.07721133693
317	0.07709329096
318	0.07698041498
319	0.07686882339
320	0.07672218216
321	0.07666327419
322	0.07649686706
323	0.07643711238
324	0.07631795531
325	0.0762310394
326	0.07613580331
327	0.07604337974
328	0.07593170534
329	0.07585033848
330	0.07574027792
331	0.07560860007
332	0.07550928153
333	0.0754363386
334	0.07528922012
335	0.07520824127
336	0.07504880749
337	0.07493644311
338	0.07485895956
339	0.07480428051
340	0.07468060615
341	0.07459855108
342	0.07450406562
343	0.07438789037
344	0.07428945249
345	0.0741891059
346	0.07410074333
347	0.07402361021
348	0.07385027745
349	0.07378969357
350	0.07364214938
351	0.07356174917
352	0.07344226474
353	0.07330737691
354	0.07320016533
355	0.07313516501
356	0.07299379581
357	0.07289087606
358	0.07277313612
359	0.07267236353
360	0.07258871982
361	0.07253026961
362	0.07243899585
363	0.07231411752
364	0.07218087032
365	0.07208173808
366	0.07185412185
367	0.07171125971
368	0.07162302191
369	0.07153379933
370	0.07141084332
371	0.07119311302
372	0.07106320532
373	0.07091484127
374	0.07081334995
375	0.07071900922
376	0.07060433404
377	0.07048257105
378	0.07033385669
379	0.07023404502
380	0.07013948464
381	0.07006000509
382	0.06994720575
383	0.06986743195
384	0.06979348794
385	0.06968417591
386	0.06958227825
387	0.06950363246
388	0.06930088387
389	0.06916704567
390	0.06911276643
391	0.06899943662
392	0.06890923394
393	0.06886820432
394	0.06881940182
395	0.06871091597
396	0.0685532499
397	0.0684706913
398	0.06840741374
399	0.06832329602
400	0.06824189937
401	0.06814896402
402	0.06807889162
403	0.06799815544
404	0.06785421256
405	0.06774825805
406	0.06764795384
407	0.06754399017
408	0.06744195674
409	0.06735665537
410	0.06730789853
411	0.06724374257
412	0.06710526106
413	0.0670206211
414	0.06693164663
415	0.06682742975
416	0.06677187837
417	0.06668912967
418	0.06659843476
419	0.06653081388
420	0.06645415971
421	0.06638619814
422	0.06628228544
423	0.06618366615
424	0.06612435715
425	0.0660309512
426	0.06588124874
427	0.06584496889
428	0.06574581151
429	0.06568951112
430	0.06563880501
431	0.06547411168
432	0.06541654146
433	0.06534339765
434	0.06526193037
435	0.06519508579
436	0.06512310108
437	0.0650814328
438	0.06498408178
439	0.06489650513
440	0.06481156052
441	0.06472261162
442	0.06460267568
443	0.06451871412
444	0.06443578963
445	0.06434711569
446	0.06425409539
447	0.06416136942
448	0.06409461452
449	0.06402641991
450	0.06395832533
451	0.06386964169
452	0.06378991124
453	0.06368766051
454	0.06364139664
455	0.06360056731
456	0.06355211247
457	0.06346960861
458	0.06341325579
459	0.06334270586
460	0.06329188863
461	0.06322748097
462	0.063140876
463	0.06308241545
464	0.06298486761
465	0.06293257187
466	0.06286187857
467	0.06276117939
468	0.06270790824
469	0.06265287319
470	0.06254341977
471	0.06243493654
472	0.06239340758
473	0.06229947382
474	0.06220519145
475	0.06215765706
476	0.06207455897
477	0.06202143719
478	0.06196083467
479	0.0619086754
480	0.06183977944
481	0.06176958669
482	0.06171646424
483	0.06162911384
484	0.06155410017
485	0.06150894457
486	0.06145465771
487	0.06135562653
488	0.06129202249
489	0.06125260995
490	0.06115623645
491	0.06109117781
492	0.06101243806
493	0.06097185227
494	0.060876153
495	0.06083805936
496	0.06080807762
497	0.06075948823
498	0.06070022284
499	0.06064421688
500	0.06056474085
501	0.06049497124
502	0.06040014352
503	0.06031846238
504	0.06026415929
505	0.0601637112
506	0.06012116194
507	0.06002728477
508	0.05994951041
509	0.05990517123
510	0.059845159
511	0.05976338705
512	0.05969630499
513	0.05961606315
514	0.05954460874
515	0.05951531917
516	0.05945469433
517	0.05941552005
518	0.05933569051
519	0.05925465701
520	0.05919362592
521	0.05912847153
522	0.0590489744
523	0.05895303468
524	0.05889837979
525	0.05885488213
526	0.05878575359
527	0.05871677955
528	0.05864934668
529	0.05859573962
530	0.0585384977
531	0.05847262742
532	0.05841900779
533	0.05837646644
534	0.05825594223
535	0.05812660437
536	0.05804845939
537	0.05797675387
538	0.05794391717
539	0.05786093738
540	0.05782225752
541	0.0577238705
542	0.05767191931
543	0.05760630904
544	0.0575450456
545	0.05748444834
546	0.05743805127
547	0.05738245343
548	0.0573430166
549	0.05726844976
550	0.05721256029
551	0.05717129306
552	0.0571117169
553	0.05703659615
554	0.05699116254
555	0.0569408625
556	0.05689112666
557	0.05680679772
558	0.05675397511
559	0.05667550283
560	0.05656761006
561	0.05647009439
562	0.05642319637
563	0.0563760429
564	0.05631985927
565	0.0562689943
566	0.05619247994
567	0.0561481988
568	0.05608486048
569	0.05602851729
570	0.05598920178
571	0.05592243406
572	0.05586922099
573	0.05582036184
574	0.05574710669
575	0.05570166037
576	0.05559013643
577	0.05551927439
578	0.05545294
579	0.05542897342
580	0.05531733792
581	0.05525002092
582	0.05521142933
583	0.05517280177
584	0.05506619597
585	0.05501290402
586	0.05494368947
587	0.05486981687
588	0.05482168223
589	0.05473693657
590	0.0546709348
591	0.05460219879
592	0.05456887257
593	0.05450565031
594	0.05444428091
595	0.05437622273
596	0.05429241576
597	0.05426395298
598	0.05422357701
599	0.05409396226
600	0.05404805337
601	0.05399317932
602	0.05393378892
603	0.05382072187
604	0.05375900615
605	0.05371082161
606	0.05364677871
607	0.0535784369
608	0.05348968089
609	0.05345151198
610	0.05338007213
611	0.05332628873
612	0.05327727644
613	0.0532082648
614	0.05315978268
615	0.05311176547
616	0.05308161656
617	0.05303663466
618	0.05298994043
619	0.05290078618
620	0.05284809696
621	0.0527873183
622	0.05275893117
623	0.05270953209
624	0.05266436702
625	0.05262874534
626	0.05255101937
627	0.05250537876
628	0.05243536851
629	0.0523616023
630	0.05229876065
631	0.05225844875
632	0.05222309802
633	0.05214022936
634	0.05209968719
635	0.05204140428
636	0.0519879218
637	0.05192060893
638	0.05186269867
639	0.05180427804
640	0.0517437679
641	0.05165727029
642	0.05155790008
643	0.05149197052
644	0.05141117088
645	0.05136886082
646	0.05133306451
647	0.05126886568
648	0.05118378041
649	0.0511235954
650	0.05106384159
651	0.05102886538
652	0.05098714361
653	0.05092495182
654	0.05088634005
655	0.05082880861
656	0.05075161573
657	0.05069290514
658	0.05065813504
659	0.05059354096
660	0.05055088091
661	0.05051124706
662	0.05047544201
663	0.05041002014
664	0.05038032135
665	0.05031150988
666	0.05027273201
667	0.0502071823
668	0.05009681508
669	0.05003251306
670	0.04999255236
671	0.04995155286
672	0.04985106991
673	0.04977958578
674	0.04971896957
675	0.04969477605
676	0.04964211367
677	0.0496011021
678	0.04955082111
679	0.04951342571
680	0.0494433761
681	0.0493992605
682	0.04935596577
683	0.04928415833
684	0.04924277161
685	0.04918157425
686	0.04912430536
687	0.0490738517
688	0.04902674156
689	0.04897865692
690	0.04893449978
691	0.04888525851
692	0.048853681
693	0.04879332039
694	0.04877182221
695	0.04871303579
696	0.04866700963
697	0.04861196358
698	0.04856966289
699	0.04853285525
700	0.04849510501
701	0.04845433412
702	0.04840395543
703	0.04829063146
704	0.04824503457
705	0.04820445412
706	0.04814396455
707	0.04809905141
708	0.04805847292
709	0.04800542212
710	0.04797178915
711	0.04790875319
712	0.04782323761
713	0.04774746758
714	0.04768679254
715	0.04765749867
716	0.04760272108
717	0.04755135173
718	0.04749613927
719	0.04744016391
720	0.04737277459
721	0.04734562692
722	0.04731326755
723	0.04726470439
724	0.04721592016
725	0.04716633033
726	0.04712967927
727	0.04708799403
728	0.04703371013
729	0.04697716095
730	0.0469411473
731	0.04689398511
732	0.0468491337
733	0.04682753702
734	0.04677534103
735	0.04670841172
736	0.04666163625
737	0.04661557085
738	0.0465756595
739	0.04652403156
740	0.04648355918
741	0.04634957951
742	0.04629197733
743	0.04620535022
744	0.04616500028
745	0.04610709062
746	0.04607524284
747	0.04602501872
748	0.04596046262
749	0.04589401208
750	0.04586425984
751	0.04581902126
752	0.0457609152
753	0.04573236903
754	0.04570906507
755	0.04567913101
756	0.04564556855
757	0.04561462402
758	0.04558094714
759	0.04554811061
760	0.04548827195
761	0.0454589869
762	0.04541249676
763	0.04537163434
764	0.0453128345
765	0.04527294751
766	0.04521598502
767	0.045187288
768	0.04514274628
769	0.04509743477
770	0.04505189651
771	0.04499786441
772	0.0449583545
773	0.04493252617
774	0.04488314504
775	0.0448360854
776	0.04477665962
777	0.04472765388
778	0.04466685453
779	0.04462377955
780	0.04458147114
781	0.04453360211
782	0.04449471206
783	0.04445000311
784	0.04440590642
785	0.04436010805
786	0.04431811533
787	0.04427976593
788	0.04424714885
789	0.04420840965
790	0.04415130995
791	0.04408201824
792	0.04401811142
793	0.04398835368
794	0.04395054382
795	0.04388943816
796	0.04386059881
797	0.04382868562
798	0.04377090032
799	0.04371517177
