iter	Passed	Remaining
0	26	21305
1	44	17798
2	61	16433
3	82	16491
4	103	16408
5	121	16141
6	140	15930
7	161	15963
8	179	15732
9	196	15541
10	217	15605
11	237	15614
12	257	15602
13	275	15451
14	295	15468
15	314	15422
16	330	15233
17	347	15092
18	367	15103
19	386	15078
20	404	14988
21	420	14879
22	440	14872
23	460	14877
24	474	14724
25	490	14601
26	508	14555
27	525	14486
28	542	14436
29	559	14365
30	579	14378
31	593	14234
32	609	14167
33	627	14129
34	641	14022
35	655	13920
36	672	13860
37	689	13827
38	707	13796
39	723	13741
40	743	13761
41	757	13675
42	773	13609
43	792	13621
44	806	13530
45	825	13524
46	840	13459
47	853	13379
48	870	13336
49	887	13308
50	906	13309
51	920	13240
52	937	13219
53	953	13166
54	969	13131
55	986	13111
56	1004	13088
57	1018	13024
58	1034	12991
59	1050	12960
60	1065	12913
61	1086	12933
62	1101	12888
63	1117	12854
64	1133	12820
65	1149	12785
66	1166	12756
67	1180	12708
68	1198	12691
69	1212	12645
70	1228	12608
71	1246	12602
72	1262	12571
73	1277	12532
74	1292	12495
75	1307	12456
76	1322	12414
77	1339	12395
78	1356	12378
79	1372	12352
80	1389	12337
81	1404	12297
82	1419	12261
83	1434	12230
84	1451	12213
85	1473	12236
86	1488	12202
87	1503	12164
88	1518	12127
89	1533	12098
90	1548	12066
91	1568	12071
92	1585	12056
93	1601	12028
94	1618	12008
95	1636	11998
96	1653	11980
97	1667	11947
98	1683	11923
99	1698	11889
100	1714	11868
101	1730	11842
102	1745	11812
103	1763	11801
104	1779	11780
105	1797	11766
106	1813	11744
107	1831	11737
108	1848	11719
109	1866	11708
110	1882	11687
111	1897	11655
112	1912	11629
113	1931	11621
114	1947	11599
115	1963	11576
116	1979	11554
117	1998	11553
118	2016	11541
119	2034	11528
120	2050	11503
121	2065	11476
122	2081	11457
123	2097	11433
124	2113	11411
125	2127	11382
126	2143	11356
127	2160	11341
128	2179	11337
129	2196	11320
130	2212	11297
131	2229	11280
132	2244	11257
133	2261	11240
134	2281	11239
135	2295	11208
136	2313	11195
137	2328	11171
138	2344	11150
139	2360	11127
140	2376	11105
141	2397	11109
142	2412	11086
143	2430	11071
144	2446	11051
145	2465	11045
146	2481	11023
147	2496	11000
148	2513	10982
149	2529	10961
150	2547	10947
151	2568	10948
152	2585	10933
153	2601	10914
154	2616	10886
155	2635	10879
156	2649	10850
157	2665	10828
158	2680	10807
159	2700	10800
160	2715	10778
161	2731	10757
162	2750	10749
163	2767	10734
164	2783	10710
165	2801	10701
166	2819	10688
167	2838	10679
168	2856	10664
169	2871	10640
170	2886	10617
171	2901	10595
172	2919	10579
173	2940	10579
174	2961	10577
175	2979	10563
176	2995	10541
177	3016	10541
178	3033	10524
179	3051	10509
180	3070	10501
181	3092	10501
182	3110	10486
183	3131	10483
184	3155	10488
185	3174	10479
186	3192	10466
187	3212	10457
188	3231	10446
189	3250	10436
190	3266	10415
191	3283	10399
192	3303	10388
193	3326	10390
194	3347	10384
195	3366	10374
196	3382	10354
197	3399	10334
198	3415	10313
199	3435	10307
200	3451	10285
201	3466	10262
202	3484	10248
203	3503	10234
204	3522	10224
205	3540	10208
206	3556	10189
207	3574	10173
208	3593	10160
209	3610	10143
210	3632	10139
211	3648	10118
212	3664	10099
213	3684	10088
214	3700	10067
215	3714	10043
216	3729	10018
217	3744	9997
218	3760	9975
219	3778	9960
220	3797	9948
221	3814	9930
222	3828	9906
223	3844	9886
224	3863	9873
225	3880	9856
226	3898	9841
227	3921	9837
228	3943	9832
229	3956	9806
230	3973	9788
231	3990	9769
232	4012	9764
233	4028	9743
234	4043	9721
235	4061	9705
236	4080	9693
237	4094	9668
238	4109	9647
239	4125	9627
240	4141	9605
241	4161	9594
242	4179	9580
243	4201	9573
244	4221	9561
245	4239	9547
246	4256	9530
247	4271	9506
248	4288	9489
249	4311	9485
250	4327	9464
251	4343	9444
252	4357	9421
253	4376	9407
254	4397	9398
255	4413	9378
256	4437	9374
257	4454	9358
258	4473	9344
259	4492	9329
260	4508	9311
261	4529	9302
262	4548	9286
263	4567	9273
264	4586	9259
265	4607	9249
266	4625	9233
267	4641	9214
268	4662	9204
269	4681	9188
270	4701	9177
271	4720	9162
272	4736	9142
273	4751	9121
274	4770	9106
275	4792	9098
276	4808	9078
277	4827	9065
278	4848	9054
279	4870	9045
280	4885	9024
281	4905	9010
282	4922	8992
283	4938	8973
284	4957	8958
285	4976	8943
286	4990	8920
287	5010	8907
288	5029	8892
289	5048	8878
290	5066	8862
291	5082	8841
292	5098	8822
293	5112	8799
294	5131	8784
295	5148	8766
296	5162	8743
297	5178	8723
298	5196	8706
299	5212	8687
300	5229	8670
301	5247	8653
302	5263	8633
303	5281	8617
304	5300	8602
305	5321	8590
306	5340	8576
307	5357	8558
308	5372	8537
309	5391	8522
310	5411	8508
311	5435	8501
312	5453	8485
313	5476	8476
314	5496	8462
315	5513	8444
316	5532	8430
317	5549	8411
318	5565	8391
319	5580	8370
320	5597	8352
321	5611	8330
322	5626	8308
323	5644	8292
324	5664	8278
325	5679	8258
326	5695	8238
327	5714	8223
328	5733	8208
329	5749	8188
330	5765	8168
331	5781	8149
332	5796	8128
333	5814	8113
334	5833	8096
335	5848	8076
336	5866	8060
337	5884	8043
338	5898	8021
339	5913	8000
340	5930	7982
341	5946	7963
342	5961	7942
343	5983	7931
344	5999	7912
345	6015	7893
346	6035	7878
347	6050	7858
348	6066	7839
349	6084	7822
350	6100	7803
351	6120	7790
352	6136	7770
353	6154	7753
354	6169	7733
355	6187	7716
356	6200	7694
357	6223	7684
358	6237	7662
359	6254	7644
360	6272	7627
361	6291	7612
362	6307	7593
363	6325	7576
364	6344	7560
365	6359	7540
366	6378	7525
367	6399	7511
368	6420	7499
369	6438	7483
370	6456	7466
371	6471	7445
