,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.2677515180988884,0.25749025197000014,-0.02746489664111111,-0.019663670395555544
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.2548942036866658,0.23066840619999987,0.029861548849999964,0.022344002555777752
34,0.257583701,0.0,-0.022096114,-0.021270467,0.2618507346744446,0.06426256146444431,-0.01910198519333337,-0.019927361500922215
48,0.053460835,0.222581304,0.024169164,0.019693731,0.06502633066888909,0.15126062313666677,0.06593683927555546,0.05711293059244431
62,0.235214224,0.129368083,0.014151168,0.012045185,0.18194712539333324,0.12553301763888897,0.013388351963333319,0.006448682434444436
73,0.155829995,0.20171942,0.024596552,0.029726634,0.07518068771888883,0.15537408184555548,0.03086056917444442,0.03962216102911119
86,0.0,0.0,-0.016429,-0.018938757,0.015999719936666615,0.014071425620000024,0.010446399251222174,0.01352059507000004
99,0.256234976,0.395232372,-0.000190205,0.004067255,0.2859500681144446,0.4287620991555551,-0.025808633130000088,-0.0260327659611111
111,0.0,0.0,-0.059558036,-0.070912812,0.015613171543333334,0.013458835904444454,0.0005190986990000024,0.0017844403622222166
121,0.001325379,0.266461054,0.01444578,0.032049886,0.032759416529944435,0.24546449271555557,0.05162670947666676,0.05068699217688897
143,0.226803182,0.20602017,0.077370769,0.072010487,0.2826657025588887,0.2549520056088886,0.018041735838888896,0.012675459071111086
166,0.238153543,0.236907407,0.077299144,0.088173151,0.22246431862888885,0.23756582124666645,0.05080453605666661,0.03298397964222221
180,0.0,0.0,-0.081811306,-0.075499599,0.013476108070888938,0.009970815401111112,-0.0024351497851111165,0.0033407948344444413
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.11711584180222206,0.2210681049788893,0.036012392382222265,0.03273719966222219
241,0.431270733,0.31295043,0.008738172,0.018405068,0.43163574776555547,0.32356230202666586,-0.004833123725555561,-0.015382736963333322
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.12836030159333278,0.2088777657944446,0.04455586944444443,0.04491158762
