,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.28947948109257027,0.2931151432049717,-0.08206395068490124,-0.06440780869655782
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.27075815295891204,0.24830190591043788,0.018066849907769272,0.015815335127713936
34,0.257583701,0.0,-0.022096114,-0.021270467,0.2654148419164173,0.015085506647920965,-0.012297734076741756,-0.011420544584836989
48,0.053460835,0.222581304,0.024169164,0.019693731,0.0656856293006367,0.18124544726919112,0.040506250895391366,0.03812709878408782
62,0.235214224,0.129368083,0.014151168,0.012045185,0.20525532322307072,0.11075329275604417,0.020950473332643327,0.019778257383876507
73,0.155829995,0.20171942,0.024596552,0.029726634,0.10486239634363237,0.17470313444478336,0.01971571545830128,0.02455507103601917
86,0.0,0.0,-0.016429,-0.018938757,0.002939714429027518,-0.003569569097390257,-0.009827214334279688,-0.009389610636489465
99,0.256234976,0.395232372,-0.000190205,0.004067255,0.28162746021030216,0.41543409335761794,-0.029286379950856034,-0.021207894763648483
111,0.0,0.0,-0.059558036,-0.070912812,0.0035694379078172744,-0.013250128025621422,-0.05300294259136154,-0.06492409530949317
121,0.001325379,0.266461054,0.01444578,0.032049886,0.03661088936030232,0.26464301261094647,0.03827600330726,0.05200805957066201
143,0.226803182,0.20602017,0.077370769,0.072010487,0.24746536141497444,0.23078304011934847,0.04222292491866239,0.04515096115173378
166,0.238153543,0.236907407,0.077299144,0.088173151,0.23402122383603796,0.23214684405488129,0.050242429131640426,0.05351771442646225
180,0.0,0.0,-0.081811306,-0.075499599,0.0038533364953501348,0.0028824824717408326,-0.05047384953858983,-0.04020383025137164
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.14354820577281657,0.218224819776907,0.010559244435087128,0.007900967278317239
241,0.431270733,0.31295043,0.008738172,0.018405068,0.4363349385436166,0.31911839346420834,0.017762345528012702,0.013099831428775133
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.08767863205500248,0.20698936692817727,-0.10734629265868989,-0.10349943498040659
263,0.943652498,0.0,-0.015365768,-0.009337268,0.9721657881280521,-0.013570194265561497,-0.0016860853872192882,-0.004165463844515216
296,0.0,0.0,-0.099859641,-0.0900583,0.012507129810865436,0.003961045153886733,-0.08254944080537899,-0.07953491929767154
310,0.276528341,0.02363931,0.019365184,0.01343832,0.29129568462712996,0.08270519574338664,0.02994392484088948,0.023693505911438706
327,0.049634875,0.126614761,-0.042992522,-0.043299891,0.06350970344431062,0.1395570831188877,-0.031424409228992284,-0.03320057327731263
351,0.138922581,0.452231138,-0.05174406,-0.014860826,0.1014740050191758,0.4398816316042655,-0.058450026934128374,-0.029070204441552505
368,0.303851889,0.259350517,-0.048489093,-0.049080457,0.309749196638613,0.22715764997841603,-0.03913183290068192,-0.043557220172942834
377,0.128564682,0.187231113,0.018716604,0.018131636,0.1380716147580756,0.19184314262025026,0.07517528683503469,0.0629706201901854
393,0.003857442,0.21195911,0.037254687,0.042977132,0.019284258963891077,0.207224516906507,0.02791906653774845,0.029897469653747066
397,0.206346223,0.216566817,0.037786816,0.039139716,0.21307781371402257,0.2143572687329538,0.039214574316766976,0.043421245446182866
406,0.007837919,0.216111038,0.019002617,0.035241965,0.02800777391615661,0.23108103484096887,0.05901880111622404,0.06028964164856632
420,0.44389209,0.261340803,0.004190792,0.007241893,0.43320545772473906,0.2502077458822214,0.0070479427764783276,0.0068470268312808
425,0.0,0.04079694,-0.072411802,-0.034730313,0.01948309705107043,0.052674986410181646,0.018580951813121777,0.016638240070601995
431,0.135968423,0.261748227,-0.012712012,-0.02889571,0.1357574304009006,0.27343248584906377,-0.048484312920635375,-0.016723386332174073
436,0.022807263,0.022102246,-0.035804656,-0.011391998,0.04336993733517147,0.023790320276084742,-0.05945408845063485,-0.05274439133106057
444,0.821569934,0.0,-0.04970001,-0.05209495,0.7985788604171873,-0.006591625927114819,-0.028052280910049632,-0.03593093999000985
449,0.553427679,0.250218496,-0.101021799,-0.103570361,0.5525938526619321,0.2681604224932599,-0.11864205646226011,-0.1210877356030835
