iter	Passed	Remaining
0	23	18661
1	37	14793
2	54	14354
3	75	15021
4	93	14852
5	112	14919
6	126	14336
7	144	14277
8	163	14356
9	179	14191
10	196	14065
11	215	14121
12	233	14131
13	250	14062
14	266	13941
15	280	13746
16	295	13627
17	310	13491
18	326	13405
19	341	13316
20	356	13224
21	370	13118
22	388	13131
23	403	13046
24	420	13020
25	438	13063
26	453	12991
27	468	12925
28	483	12847
29	503	12926
30	517	12832
31	531	12765
32	547	12721
33	561	12656
34	576	12596
35	590	12531
36	604	12472
37	621	12463
38	636	12417
39	651	12369
40	669	12387
41	684	12348
42	701	12349
43	720	12371
44	733	12304
45	748	12262
46	762	12216
47	776	12165
48	792	12151
49	806	12096
50	820	12056
51	835	12020
52	852	12010
53	866	11964
54	881	11933
55	902	11984
56	917	11953
57	935	11968
58	950	11936
59	965	11904
60	980	11877
61	997	11871
62	1014	11864
63	1027	11817
64	1043	11804
65	1057	11764
66	1073	11747
67	1089	11726
68	1104	11696
69	1118	11665
70	1134	11649
71	1150	11627
72	1165	11605
73	1181	11592
74	1196	11561
75	1216	11586
76	1230	11554
77	1247	11551
78	1264	11537
79	1280	11520
80	1296	11509
81	1310	11475
82	1325	11452
83	1340	11428
84	1357	11419
85	1371	11389
86	1387	11372
87	1404	11363
88	1419	11337
89	1435	11322
90	1451	11305
91	1466	11287
92	1485	11292
93	1502	11281
94	1517	11259
95	1533	11242
96	1549	11228
97	1565	11210
98	1582	11202
99	1598	11186
100	1614	11173
101	1631	11166
102	1647	11147
103	1662	11126
104	1677	11104
105	1694	11091
106	1711	11084
107	1728	11072
108	1744	11057
109	1762	11056
110	1781	11055
111	1798	11047
112	1821	11076
113	1836	11051
114	1852	11033
115	1868	11019
116	1884	11003
117	1899	10979
118	1914	10956
119	1930	10940
120	1944	10913
121	1959	10892
122	1978	10890
123	1995	10879
124	2012	10867
125	2033	10876
126	2050	10868
127	2067	10854
128	2086	10855
129	2103	10841
130	2117	10812
131	2132	10791
132	2151	10789
133	2169	10781
134	2184	10761
135	2199	10737
136	2218	10737
137	2232	10711
138	2247	10688
139	2263	10670
140	2278	10648
141	2299	10655
142	2320	10661
143	2336	10645
144	2351	10620
145	2367	10604
146	2385	10596
147	2402	10584
148	2417	10562
149	2434	10548
150	2450	10531
151	2469	10526
152	2485	10512
153	2502	10495
154	2520	10488
155	2539	10482
156	2556	10470
157	2574	10461
158	2589	10437
159	2607	10428
160	2621	10403
161	2640	10400
162	2657	10386
163	2674	10370
164	2688	10345
165	2705	10333
166	2723	10324
167	2743	10319
168	2757	10295
169	2773	10279
170	2789	10259
171	2806	10245
172	2823	10233
173	2839	10214
174	2854	10194
175	2871	10181
176	2886	10161
177	2904	10149
178	2923	10142
179	2944	10142
180	2959	10120
181	2976	10106
182	2994	10094
183	3009	10076
184	3025	10056
185	3042	10044
186	3058	10025
187	3075	10011
188	3091	9994
189	3109	9984
190	3128	9974
191	3143	9953
192	3159	9936
193	3177	9926
194	3193	9909
195	3213	9902
196	3232	9893
197	3248	9877
198	3265	9862
199	3279	9838
200	3293	9816
201	3307	9791
202	3328	9789
203	3349	9785
204	3368	9776
205	3384	9758
206	3402	9745
207	3425	9749
208	3439	9726
209	3455	9707
210	3474	9698
211	3491	9684
212	3510	9673
213	3527	9659
214	3544	9643
215	3560	9627
216	3575	9605
217	3593	9593
218	3610	9578
219	3625	9557
220	3641	9541
221	3657	9521
222	3674	9506
223	3688	9485
224	3708	9477
225	3724	9460
226	3742	9446
227	3758	9428
228	3774	9411
229	3791	9396
230	3807	9378
231	3823	9361
232	3840	9346
233	3857	9330
234	3875	9318
235	3893	9304
236	3908	9284
237	3922	9262
238	3939	9246
239	3955	9228
240	3970	9209
241	3993	9207
242	4007	9185
243	4030	9184
244	4046	9165
245	4063	9152
246	4080	9135
247	4095	9115
248	4111	9097
249	4126	9078
250	4141	9058
251	4157	9040
252	4179	9036
253	4199	9027
254	4213	9005
255	4228	8984
256	4249	8978
257	4269	8970
258	4288	8957
259	4305	8942
260	4320	8922
261	4339	8910
262	4357	8897
263	4372	8878
264	4389	8862
265	4407	8847
266	4425	8834
267	4445	8824
268	4462	8809
269	4483	8801
270	4499	8782
271	4518	8770
272	4532	8749
273	4549	8733
274	4565	8716
275	4588	8710
276	4607	8698
277	4622	8680
278	4637	8660
279	4651	8637
280	4667	8620
281	4683	8603
282	4696	8579
283	4713	8563
284	4731	8549
285	4746	8530
286	4762	8512
287	4779	8496
