model,target,R2,MAE,RMSE
XGBoost,CETR,0.972504,0.025954,0.0367
XGBoost,GETR,0.934738,0.022181,0.034016
XGBoost,TSTA,0.80675,0.045249,0.120003
XGBoost,TSDA,0.805171,0.046903,0.122553
CatBoost,CETR,0.989521,0.016092,0.022657
CatBoost,GETR,0.972649,0.01525,0.022021
CatBoost,TSTA,0.92387,0.037252,0.07532
CatBoost,TSDA,0.920741,0.039233,0.078167
RandomForest,CETR,0.973503,0.02759,0.036028
RandomForest,GETR,0.858662,0.030944,0.050059
RandomForest,TSTA,0.91838,0.036765,0.077989
RandomForest,TSDA,0.918085,0.038178,0.079466
