iter	Passed	Remaining
0	34	27719
1	60	24175
2	97	25900
3	119	23724
4	137	21856
5	175	23206
6	225	25581
7	258	25569
8	287	25306
9	321	25363
10	338	24311
11	379	24937
12	411	24932
13	431	24213
14	453	23741
15	483	23710
16	509	23481
17	544	23655
18	584	24019
19	611	23842
20	639	23718
21	680	24056
22	710	24009
23	729	23576
24	745	23116
25	790	23521
26	832	23822
27	871	24032
28	902	24005
29	937	24063
30	956	23716
31	990	23776
32	1029	23923
33	1056	23808
34	1089	23811
35	1127	23937
36	1166	24046
37	1192	23906
38	1221	23830
39	1246	23674
40	1268	23486
41	1296	23396
42	1323	23304
43	1362	23413
44	1390	23329
45	1411	23139
46	1460	23399
47	1492	23383
48	1510	23158
49	1535	23029
50	1564	22972
51	1609	23150
52	1653	23298
53	1697	23454
54	1731	23458
55	1753	23293
56	1783	23251
57	1810	23156
58	1833	23025
59	1878	23163
60	1921	23280
61	1950	23219
62	1967	23019
63	1984	22822
64	2004	22663
65	2034	22623
66	2061	22550
67	2098	22588
68	2134	22617
69	2153	22462
70	2216	22762
71	2246	22717
72	2267	22586
73	2282	22394
74	2305	22289
75	2345	22342
76	2370	22258
77	2416	22368
78	2448	22343
79	2472	22249
80	2489	22099
81	2521	22080
82	2564	22157
83	2600	22168
84	2638	22194
85	2682	22270
86	2716	22259
87	2760	22336
88	2798	22358
89	2842	22426
90	2878	22428
91	2910	22394
92	2927	22255
93	2970	22310
94	3019	22411
95	3056	22412
96	3072	22269
97	3091	22144
98	3130	22165
99	3186	22303
100	3237	22402
101	3267	22357
102	3322	22483
103	3353	22444
104	3397	22488
105	3438	22510
106	3477	22519
107	3520	22559
108	3554	22535
109	3587	22505
110	3615	22443
111	3644	22388
112	3690	22437
113	3711	22334
114	3746	22316
115	3773	22250
116	3828	22348
117	3844	22217
118	3860	22091
119	3877	21971
120	3905	21914
121	3967	22047
122	4006	22049
123	4036	22007
124	4068	21971
125	4111	21992
126	4142	21951
127	4173	21909
128	4228	21996
129	4258	21950
130	4300	21964
131	4328	21905
132	4356	21848
133	4393	21835
134	4424	21796
135	4468	21818
136	4497	21765
137	4547	21814
138	4580	21782
139	4612	21744
140	4629	21637
141	4646	21529
142	4675	21479
143	4720	21504
144	4768	21539
145	4803	21517
146	4828	21448
147	4864	21429
148	4901	21417
149	4940	21407
150	5002	21502
151	5055	21554
152	5083	21497
153	5136	21546
154	5177	21546
155	5231	21597
156	5259	21540
157	5278	21447
158	5315	21427
159	5350	21403
160	5383	21368
161	5407	21296
162	5422	21189
163	5440	21098
164	5479	21087
165	5507	21034
166	5526	20946
167	5567	20943
168	5608	20939
169	5639	20899
170	5673	20868
171	5721	20891
172	5755	20860
173	5789	20829
174	5814	20767
175	5850	20743
176	5894	20747
177	5931	20727
178	5964	20691
179	5987	20624
180	6019	20584
181	6055	20562
182	6071	20469
183	6116	20476
184	6177	20535
185	6197	20459
186	6214	20370
187	6242	20322
188	6289	20331
189	6323	20302
190	6370	20311
191	6412	20306
192	6446	20274
193	6507	20326
194	6560	20355
195	6603	20349
196	6641	20328
197	6671	20282
198	6704	20247
199	6737	20213
200	6773	20186
201	6813	20170
202	6836	20106
203	6855	20027
204	6898	20022
205	6923	19964
206	6965	19955
207	6982	19872
208	6998	19789
209	7030	19752
210	7063	19716
211	7114	19733
212	7141	19679
213	7171	19636
214	7209	19617
215	7240	19576
216	7288	19580
217	7334	19580
218	7368	19548
219	7402	19514
220	7440	19494
221	7500	19528
222	7536	19500
223	7589	19515
224	7627	19491
225	7656	19446
226	7700	19438
227	7750	19443
228	7768	19371
229	7786	19296
230	7817	19256
231	7848	19216
232	7892	19207
233	7919	19156
234	7954	19125
235	7991	19097
236	8048	19118
237	8080	19080
238	8120	19060
239	8164	19049
240	8183	18982
241	8203	18916
242	8225	18853
243	8245	18789
244	8273	18741
245	8313	18723
246	8354	18704
247	8393	18682
248	8410	18610
249	8448	18586
250	8479	18546
251	8498	18481
252	8522	18425
253	8540	18358
254	8556	18287
255	8593	18261
256	8644	18263
257	8675	18225
258	8710	18193
259	8744	18160
260	8796	18166
261	8824	18121
262	8857	18084
263	8874	18018
264	8891	17950
265	8910	17887
266	8937	17841
267	8958	17782
268	8982	17731
269	9007	17681
270	9024	17616
271	9046	17560
272	9076	17521
273	9112	17492
274	9152	17472
275	9180	17429
276	9209	17387
277	9242	17355
278	9267	17305
279	9289	17252
280	9308	17192
281	9341	17159
282	9359	17099
283	9411	17098
284	9472	17116
285	9512	17096
286	9551	17072
287	9593	17055
288	9644	17053
289	9700	17059
290	9734	17026
291	9760	16980
292	9803	16964
293	9853	16959
294	9896	16942
295	9940	16925
296	9957	16863
297	9974	16802
298	10011	16774
299	10037	16729
300	10070	16695
301	10086	16632
302	10113	16588
303	10152	16565
304	10199	16552
305	10240	16531
306	10285	16516
307	10321	16487
308	10358	16459
309	10394	16430
310	10434	16406
311	10454	16352
312	10488	16318
313	10517	16278
314	10552	16247
315	10589	16218
316	10617	16178
317	10642	16130
318	10664	16080
319	10681	16021
320	10708	15979
321	10727	15924
322	10760	15891
323	10781	15839
324	10799	15784
325	10817	15728
326	10837	15675
327	10854	15620
328	10869	15561
329	10894	15516
330	10933	15491
331	10983	15482
332	11018	15452
333	11050	15418
334	11085	15387
335	11106	15336
336	11146	15313
337	11191	15297
338	11214	15250
339	11261	15236
340	11288	15194
341	11329	15172
342	11380	15162
343	11401	15113
344	11440	15088
345	11481	15064
346	11510	15026
347	11546	14996
348	11586	14973
349	11623	14943
350	11642	14892
351	11661	14841
352	11690	14803
353	11724	14771
354	11780	14767
355	11826	14750
356	11862	14720
357	11901	14693
358	11941	14669
359	11966	14625
360	11994	14585
361	12040	14568
362	12069	14529
363	12097	14490
364	12120	14445
365	12172	14433
366	12207	14402
367	12245	14375
368	12276	14339
369	12301	14296
370	12338	14267
371	12380	14244
372	12420	14218
373	12435	14164
374	12452	14112
375	12499	14094
376	12554	14086
377	12598	14065
378	12642	14044
379	12680	14014
380	12728	13998
381	12770	13974
382	12809	13947
383	12860	13932
384	12906	13912
385	12954	13894
386	12984	13856
387	13022	13828
388	13066	13805
389	13084	13755
390	13135	13739
391	13173	13711
392	13200	13671
393	13220	13623
394	13252	13587
395	13295	13563
396	13315	13516
397	13353	13487
398	13379	13446
399	13410	13410
400	13433	13366
401	13453	13319
402	13483	13282
403	13517	13249
404	13564	13229
405	13588	13186
406	13619	13151
407	13641	13106
408	13664	13062
409	13687	13019
410	13729	12994
411	13764	12962
412	13827	12956
413	13854	12917
414	13895	12890
415	13957	12883
416	13987	12847
417	14012	12805
418	14045	12771
419	14070	12730
