,actual_CETR,actual_GETR,actual_TSTA,actual_TSDA,pred_CETR,pred_GETR,pred_TSTA,pred_TSDA
11,0.295608392,0.302835547,-0.067752099,-0.040320756,0.2828095555305481,0.2975457012653351,-0.09333495795726776,-0.056991614401340485
21,0.278554209,0.221889165,0.000489943,-0.007288934,0.26045647263526917,0.21832281351089478,0.009746953845024109,-0.004392527509480715
34,0.257583701,0.0,-0.022096114,-0.021270467,0.25088581442832947,0.01808292604982853,-0.026332160457968712,-0.015009591355919838
48,0.053460835,0.222581304,0.024169164,0.019693731,0.05954764038324356,0.22044891119003296,0.017666053026914597,0.005392147693783045
62,0.235214224,0.129368083,0.014151168,0.012045185,0.21356287598609924,0.11528995633125305,0.013983254320919514,0.011851700022816658
73,0.155829995,0.20171942,0.024596552,0.029726634,0.12291579693555832,0.20039953291416168,0.03211579471826553,0.02593008056282997
86,0.0,0.0,-0.016429,-0.018938757,0.02960829623043537,-0.0010284982854500413,-0.007553922478109598,-0.017942795529961586
111,0.0,0.0,-0.059558036,-0.070912812,0.018673736602067947,0.007005955558270216,-0.07355756312608719,-0.08041082322597504
121,0.001325379,0.266461054,0.01444578,0.032049886,0.08625070005655289,0.2274361103773117,-0.030639279633760452,-0.01877681165933609
143,0.226803182,0.20602017,0.077370769,0.072010487,0.23920166492462158,0.20816491544246674,0.06951258331537247,0.08111238479614258
166,0.238153543,0.236907407,0.077299144,0.088173151,0.21531499922275543,0.22784364223480225,0.05363496392965317,0.06739626824855804
180,0.0,0.0,-0.081811306,-0.075499599,-0.003032179782167077,0.006506703328341246,-0.09267491102218628,-0.0807691365480423
192,0.142282291,0.235967533,-0.007512805,-0.017390842,0.15763749182224274,0.19893482327461243,0.009108065627515316,-0.0060187154449522495
241,0.431270733,0.31295043,0.008738172,0.018405068,0.39628687500953674,0.29942038655281067,0.034881461411714554,0.023524880409240723
255,0.105794119,0.2283104,-0.119779858,-0.119944899,0.12353835254907608,0.2211507111787796,-0.11855389177799225,-0.11755453050136566
263,0.943652498,0.0,-0.015365768,-0.009337268,0.9958969950675964,0.012735763564705849,-0.011001440696418285,-0.013823887333273888
296,0.0,0.0,-0.099859641,-0.0900583,0.02123280055820942,0.048843588680028915,-0.09203076362609863,-0.071659617125988
310,0.276528341,0.02363931,0.019365184,0.01343832,0.2918953001499176,0.1111021563410759,0.03540264070034027,0.027736522257328033
327,0.049634875,0.126614761,-0.042992522,-0.043299891,0.02981552854180336,0.10718411952257156,-0.015419007278978825,-0.01922115497291088
351,0.138922581,0.452231138,-0.05174406,-0.014860826,0.13461454212665558,0.38309231400489807,-0.09700016677379608,-0.050645288079977036
377,0.128564682,0.187231113,0.018716604,0.018131636,0.1588965356349945,0.17240609228610992,0.04814648628234863,0.03023039922118187
393,0.003857442,0.21195911,0.037254687,0.042977132,0.020060449838638306,0.2072312980890274,0.026504067704081535,0.0241853017359972
397,0.206346223,0.216566817,0.037786816,0.039139716,0.1914619356393814,0.2320275902748108,0.017350096255540848,0.030100394040346146
406,0.007837919,0.216111038,0.019002617,0.035241965,0.0698130875825882,0.2137889415025711,0.04070456698536873,0.05558588355779648
420,0.44389209,0.261340803,0.004190792,0.007241893,0.4117424190044403,0.2703617513179779,-0.00928102619946003,-0.0015255932230502367
431,0.135968423,0.261748227,-0.012712012,-0.02889571,0.06089240685105324,0.22837817668914795,-0.10706594586372375,-0.05379631370306015
436,0.022807263,0.022102246,-0.035804656,-0.011391998,0.007890783250331879,0.0054014758206903934,-0.11906633526086807,-0.038169778883457184
444,0.821569934,0.0,-0.04970001,-0.05209495,0.66901034116745,0.026394393295049667,-0.05036439374089241,-0.05308187007904053
454,0.151057398,0.56497034,0.029271925,0.013233695,0.14017336070537567,0.49730560183525085,-0.02228238806128502,-0.02243812195956707
480,0.013753514,0.0,-0.012880662,0.017459029,0.026840945705771446,0.005576307885348797,-0.04695027321577072,0.0016332269879058003
494,0.258752116,0.210512886,-0.023262057,-0.025301866,0.24841657280921936,0.22329749166965485,-0.025254033505916595,-0.02213965728878975
506,0.010379938,0.269165246,-0.034487218,-0.027192972,0.08083288371562958,0.2487003058195114,-0.030829118564724922,-0.02165151759982109
518,0.035203679,0.184514989,-0.073059739,-0.085888711,0.0582108236849308,0.18563377857208252,-0.06773997098207474,-0.025463560596108437
539,0.359938259,0.184913111,-0.27326157,-0.270993438,0.3390533924102783,0.19068166613578796,-0.2658166289329529,-0.24935457110404968
549,0.109815472,0.262634542,-0.045154233,-0.018430693,0.07172439992427826,0.2262180894613266,-0.033580828458070755,-0.026725798845291138
562,0.189685117,0.12161668,0.058107691,0.042560274,0.17669779062271118,0.13039499521255493,0.05993286520242691,0.04302395507693291
576,0.077785303,0.205336146,0.010857167,0.014213531,0.11750263720750809,0.18661703169345856,0.03207752853631973,0.03138888627290726
592,0.0,0.0,-0.233829788,-0.226228195,0.011111254803836346,0.08374189585447311,-0.3944289982318878,-0.32092443108558655
608,0.315827532,0.467697001,0.00759784,0.004422932,0.30333811044692993,0.444374144077301,-0.005937544163316488,0.005475377198308706
621,0.045909498,0.124205464,0.130521337,0.112633132,0.027378158643841743,0.1198997050523758,0.13210676610469818,0.12785552442073822
640,0.099471721,0.133224773,-0.079920555,-0.0692265,0.06321103125810623,0.13140955567359924,-0.08598879724740982,-0.06442029029130936
663,0.0,0.0,-0.023965988,-0.023977822,0.009898370131850243,0.0042721983045339584,-0.024147355929017067,-0.01992519572377205
683,0.073135045,0.063311052,-0.024735848,-0.020511075,0.0924605056643486,0.039305202662944794,-0.01608414202928543,-0.02551586553454399
698,0.421615727,0.247672681,-0.01108427,-0.015729093,0.4340865910053253,0.24647092819213867,-0.013341777957975864,-0.02283320762217045
712,0.492822978,0.433890167,-0.128765557,-0.104793319,0.4666229784488678,0.3961421549320221,-0.13523294031620026,-0.12836480140686035
725,1.0,1.0,0.019340778,0.012833895,1.0015771389007568,0.9151973724365234,-0.02520773559808731,-0.06179995462298393
734,0.559694795,0.120992428,-0.005584392,-0.004964232,0.5183210372924805,0.1270373910665512,-0.005190306343138218,-0.05338095873594284
745,1.0,0.0,-0.103656283,-0.094446591,1.0024763345718384,0.05685897916555405,-0.0855194628238678,-0.07580134272575378
760,0.336036922,0.056953201,-0.149530383,-0.15815462,0.2579074203968048,0.0222731102257967,-0.06035605072975159,-0.11448319256305695
774,0.221144109,0.202488022,-0.012391521,-0.003605369,0.22559332847595215,0.1974300593137741,-0.008734157308936119,0.0004911471623927355
788,0.116976041,0.167264547,-0.23579968,-0.23073122,0.1289464831352234,0.19160297513008118,-0.34637099504470825,-0.28573453426361084
800,0.316080671,0.214322285,-0.030270907,-0.028716895,0.31720754504203796,0.20526158809661865,-0.03538764640688896,-0.031105242669582367
860,0.044321823,0.105290524,0.012450706,-0.003726134,0.10882744938135147,0.0982513576745987,-0.01824316568672657,-0.03743220120668411
869,1.0,0.237226247,0.010789569,-0.00376251,0.9932556748390198,0.19403515756130219,0.01654668338596821,-0.005135784856975079
883,0.032464103,0.289401057,0.092712482,0.059698443,0.07311367243528366,0.2578032612800598,0.04367566853761673,-0.018460966646671295
908,0.010381221,0.261494671,-0.068571772,-0.116624322,0.061095163226127625,0.2775399386882782,-0.14438101649284363,-0.1356065422296524
